Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-02-03,806.72,818.3,804.0,810.2,10868773.0,0.0,1.0,806.72,818.3,804.0,810.2,10868773.0
2017-02-02,836.59,842.49,828.26,839.95,7350492.0,0.0,1.0,836.59,842.49,828.26,839.95,7350492.0
2017-02-01,829.21,833.78,824.94,832.35,3850181.0,0.0,1.0,829.21,833.78,824.94,832.35,3850181.0
2017-01-31,823.75,826.99,819.56,823.48,3137196.0,0.0,1.0,823.75,826.99,819.56,823.48,3137196.0
2017-01-30,833.0,833.5,816.38,830.38,3747336.0,0.0,1.0,833.0,833.5,816.38,830.38,3747336.0
2017-01-27,839.0,839.7,829.44,835.77,2998700.0,0.0,1.0,839.0,839.7,829.44,835.77,2998700.0
2017-01-26,835.53,843.84,833.0,839.15,3586323.0,0.0,1.0,835.53,843.84,833.0,839.15,3586323.0
2017-01-25,825.79,837.4183,825.288,836.52,4023078.0,0.0,1.0,825.79,837.4183,825.288,836.52,4023078.0
2017-01-24,822.0,823.99,814.5,822.44,2971740.0,0.0,1.0,822.0,823.99,814.5,822.44,2971740.0
2017-01-23,806.8,818.5,805.08,817.88,2797474.0,0.0,1.0,806.8,818.5,805.08,817.88,2797474.0
2017-01-20,815.28,816.02,806.26,808.33,3376196.0,0.0,1.0,815.28,816.02,806.26,808.33,3376196.0
2017-01-19,810.0,813.51,807.32,809.04,2540784.0,0.0,1.0,810.0,813.51,807.32,809.04,2540784.0
2017-01-18,809.5,811.73,804.27,807.48,2354201.0,0.0,1.0,809.5,811.73,804.27,807.48,2354201.0
2017-01-17,815.7,816.0,803.44,809.72,3670529.0,0.0,1.0,815.7,816.0,803.44,809.72,3670529.0
2017-01-13,814.32,821.65,811.4,817.14,3791945.0,0.0,1.0,814.32,821.65,811.4,817.14,3791945.0
2017-01-12,800.31,814.13,799.5,813.64,4873922.0,0.0,1.0,800.31,814.13,799.5,813.64,4873922.0
2017-01-11,793.66,799.5,789.51,799.02,2992791.0,0.0,1.0,793.66,799.5,789.51,799.02,2992791.0
2017-01-10,796.6,798.0,789.5434,795.9,2558369.0,0.0,1.0,796.6,798.0,789.5434,795.9,2558369.0
2017-01-09,798.0,801.7742,791.77,796.92,3446109.0,0.0,1.0,798.0,801.7742,791.77,796.92,3446109.0
2017-01-06,782.36,799.44,778.48,795.99,5986234.0,0.0,1.0,782.36,799.44,778.48,795.99,5986234.0
2017-01-05,761.55,782.3999,760.2557,780.45,5830068.0,0.0,1.0,761.55,782.3999,760.2557,780.45,5830068.0
2017-01-04,758.39,759.68,754.2,757.18,2510526.0,0.0,1.0,758.39,759.68,754.2,757.18,2510526.0
2017-01-03,757.92,758.7595,747.7,753.67,3521066.0,0.0,1.0,757.92,758.7595,747.7,753.67,3521066.0
2016-12-30,766.47,767.3999,748.28,749.87,4139449.0,0.0,1.0,766.47,767.3999,748.28,749.87,4139449.0
2016-12-29,772.4,773.4,760.85,765.15,3158299.0,0.0,1.0,772.4,773.4,760.85,765.15,3158299.0
2016-12-28,776.25,780.0,770.5,772.13,3301025.0,0.0,1.0,776.25,780.0,770.5,772.13,3301025.0
2016-12-27,763.4,774.65,761.2,771.4,2638725.0,0.0,1.0,763.4,774.65,761.2,771.4,2638725.0
2016-12-23,764.55,766.5,757.99,760.59,1981616.0,0.0,1.0,764.55,766.5,757.99,760.59,1981616.0
2016-12-22,768.12,771.21,763.02,766.34,2543551.0,0.0,1.0,768.12,771.21,763.02,766.34,2543551.0
2016-12-21,770.0,771.22,765.7,770.6,2044629.0,0.0,1.0,770.0,771.22,765.7,770.6,2044629.0
2016-12-20,768.65,774.39,767.71,771.22,2703629.0,0.0,1.0,768.65,774.39,767.71,771.22,2703629.0
2016-12-19,758.89,770.5,756.16,766.0,3113240.0,0.0,1.0,758.89,770.5,756.16,766.0,3113240.0
2016-12-16,765.0,765.13,754.0,757.77,4848219.0,0.0,1.0,765.0,765.13,754.0,757.77,4848219.0
2016-12-15,766.28,769.1,760.31,761.0,3801927.0,0.0,1.0,766.28,769.1,760.31,761.0,3801927.0
2016-12-14,778.25,780.86,762.81,768.82,5454836.0,0.0,1.0,778.25,780.86,762.81,768.82,5454836.0
2016-12-13,764.96,782.46,762.0,774.34,5285288.0,0.0,1.0,764.96,782.46,762.0,774.34,5285288.0
2016-12-12,766.4,766.89,757.2,760.12,2963945.0,0.0,1.0,766.4,766.89,757.2,760.12,2963945.0
2016-12-09,770.0,770.25,765.34,768.66,2470923.0,0.0,1.0,770.0,770.25,765.34,768.66,2470923.0
